Id,Label,female,body,sexual,face,skin,objectifies,python_pagerank,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,chanelofficial,hm,jacquemus,sheinofficial,Degree,Weighted Degree,stat_inf_class,clustering,triangles
abandon,abandon,0.023159,0.056248,0,0.75,0.268871,0,0.150039,2,0.000227,3,0.504321,0.510852,0.371795,1,0,0,0,37,0.000336,0,0.939683,592
absence,absence,0.006676,0.00713,0.002855,1,0.258281,0.136364,0.150013,5,0.000673,2,0.532287,0.560658,0.841975,0,0,1,0,179,0.000101,136,0.988574,15573
accessible,accessible,0.02026,0.021345,0,1,0.073243,0,0.150022,8,0.000276,2,0.508185,0.516107,0.751521,0,1,0,0,49,0.000183,162,0.949468,1071
accessorize,accessorize,0.036038,0.044145,0.000543,0.978723,0.197491,0.388298,0.150571,4,0.003443,2,0.713796,0.79952,14427.642908,0.085106,0.265957,0.276596,0.37234,876,0.00473,235,0.181298,69324
accessory,accessory,0.031705,0.068706,0.002367,0.642857,0.453137,0.357143,0.150096,2,0.000634,2,0.526715,0.55072,144.971899,0.071429,0.357143,0.428571,0.142857,150,0.000839,116,0.556775,6139
accompany,accompany,0.040532,0.012843,0,1,0.27401,0.125,0.150052,0,0.00064,3,0.526145,0.54992,212.776009,0.375,0.25,0.25,0.125,148,0.000445,7,0.481595,5168
accord,accord,0.031809,0.061134,0,1,0.239122,0.2,0.150022,9,0.000339,3,0.511212,0.522161,19.018131,0.4,0.6,0,0,67,0.000179,177,0.732401,1571
act,act,0.024085,0.023792,0,0.666667,0.356864,0,0.15001,5,0.000475,3,0.515002,0.532557,102.958263,1,0,0,0,102,0.000084,55,0.533465,2694
actress,actress,0.021943,0.04503,0,1,0.465176,0.380952,0.150062,5,0.000936,2,0.542985,0.579164,410.025455,1,0,0,0,233,0.0005,5,0.465592,12476
add,add,0.041253,0.099812,0.003315,0.833333,0.293792,0.333333,0.150045,2,0.000388,3,0.513732,0.526959,26.221656,0,0.666667,0,0.333333,81,0.00039,275,0.659177,2083
adorn,adorn,0.017784,0.048067,0.002116,1,0.248747,0.428571,0.150053,0,0.000907,2,0.541172,0.57608,410.746266,0.5,0.071429,0.142857,0.285714,224,0.00044,284,0.46455,11499
adventure,adventure,0.029986,0.025426,0,1,0.259856,0,0.150031,4,0.000187,3,0.497104,0.503541,0.48209,0,0,0,1,26,0.000288,159,0.853333,256
aesthetic,aesthetic,0.032327,0.026262,0,1,0.149523,0.5,0.150053,7,0.000319,3,0.51014,0.520334,13.535526,0.166667,0,0,0.833333,62,0.000464,158,0.722951,1323
affirm,affirm,0.023159,0.056248,0,0.75,0.268871,0,0.150019,2,0.000227,3,0.504321,0.510852,0.371795,1,0,0,0,37,0.000159,0,0.939683,592
again,again,0.028522,0.05459,0,1,0.236344,0.5,0.150038,0,0.000306,2,0.509962,0.519534,9.596848,0,0.5,0,0.5,59,0.000324,126,0.741077,1225
age,age,0.022567,0.036787,0,1,0.4079,0.266667,0.150041,5,0.000672,2,0.527858,0.552776,232.657961,0.933333,0.066667,0,0,156,0.00033,7,0.519062,6195
ago,ago,0.035128,0.063228,0,1,0.175684,0.555556,0.150084,0,0.000327,2,0.511033,0.52159,10.248255,0,0,1,0,65,0.000736,231,0.763889,1540
ahead,ahead,0.008289,0.007922,0.002731,1,0.268855,0.130435,0.150039,5,0.00078,2,0.538178,0.570939,73.997882,0.021739,0.021739,0.956522,0,209,0.000322,99,0.824693,17754
aime,aime,0.050988,0.063061,0,1,0.362908,0,0.150014,1,0.000359,3,0.51211,0.523875,1.686836,0,0,1,0,72,0.00011,76,0.937223,2329
air,air,0.016877,0.025233,0.001847,0.941176,0.242603,0.264706,0.150082,6,0.001266,2,0.565723,0.616175,872.222847,0.058824,0.088235,0.794118,0.058824,341,0.000692,230,0.480444,27688
alchemy,alchemy,0.032715,0.025719,0,1,0.067706,0.75,0.150013,2,0.000292,2,0.508894,0.517478,0.360709,1,0,0,0,53,0.000104,227,0.966817,1282
alexander,alexander,0.007965,0.008005,0.002731,1,0.262775,0.173913,0.150021,5,0.000714,2,0.534237,0.564085,58.901001,0,0,1,0,189,0.000171,274,0.912106,16033
all,all,0.02406,0.040389,0.002787,0.75,0.295634,0.416667,0.150069,9,0.000671,2,0.528623,0.554147,185.742495,0.166667,0.666667,0,0.166667,160,0.000581,158,0.507284,6372
allure,allure,0.016135,0.031625,0.00055,0.9375,0.405716,0.25,0.15004,5,0.000694,2,0.53016,0.556888,144.733512,1,0,0,0,168,0.000326,41,0.575427,7976
also,also,0.042522,0.069586,0.00082,0.892157,0.201124,0.372549,0.150366,9,0.00261,2,0.643015,0.722413,7891.531547,0.127451,0.529412,0.294118,0.04902,651,0.003026,286,0.217034,45778
always,always,0.020901,0.040207,0,1,0.05238,0.142857,0.150034,8,0.000537,2,0.521444,0.541124,73.312049,0,1,0,0,122,0.000286,159,0.626309,4547
am,am,0.014145,0.017591,0.005412,0.733333,0.386213,0.2,0.150037,5,0.000571,2,0.523314,0.544551,106.318809,0.8,0,0.2,0,132,0.000301,182,0.710159,6047
amanda,amanda,0.076144,0.075147,0,1,0.45513,0.4,0.150028,2,0.000234,3,0.50467,0.511081,0.101694,1,0,0,0,37,0.000234,175,0.95873,604
amazing,amazing,0.021868,0.052876,0,1,0.012885,0.5,0.150024,3,0.000239,3,0.504495,0.511423,1.953434,0,1,0,0,39,0.000199,266,0.854908,601
ambassador,ambassador,0.018926,0.032186,0,1,0.352732,0.25,0.150082,5,0.001195,2,0.557296,0.60281,853.618191,1,0,0,0,302,0.00066,3,0.398117,17975
american,american,0.026124,0.048955,0,1,0.030953,0.333333,0.150032,3,0.000372,2,0.51319,0.525703,23.07782,0,1,0,0,77,0.000267,266,0.668421,1905
amour,amour,0.021527,0.025736,0.001523,0.981818,0.302757,0.248485,0.150389,6,0.001094,2,0.554121,0.59767,568.551556,0,0,1,0,287,0.003259,82,0.572224,23321
angel,angel,0.021891,0.030535,0,1,0.401791,0.5,0.15004,5,0.000413,2,0.515548,0.530158,14.036884,0.8,0,0,0.2,90,0.000335,50,0.818948,3207
angeles,angeles,0.015174,0.022646,0,1,0.354129,0.363636,0.150029,5,0.000501,2,0.519957,0.538382,30.548,1,0,0,0,114,0.000238,193,0.747946,4733
anglaise,anglaise,0.033395,0.117091,0,0.8,0.171309,0.2,0.15004,9,0.000268,3,0.507655,0.515536,5.24582,0,1,0,0,48,0.000348,27,0.786309,850
animaniacs,animaniacs,0.026258,0.050083,0,1,0.343619,0,0.150038,4,0.000232,3,0.505895,0.512109,2.005061,0,0,0,1,38,0.000325,202,0.84985,566
anna,anna,0.015843,0.018003,0,1,0.220243,0,0.150016,5,0.000426,2,0.515912,0.530843,38.81518,1,0,0,0,92,0.000132,254,0.655189,2683
annee,annee,0.040573,0.054609,0,0.970588,0.127472,0.588235,0.150264,6,0.000521,2,0.520514,0.539411,76.698409,0,0,1,0,117,0.002293,138,0.587106,3916
announce,announce,0.030026,0.022534,0,1,0.2906,0.5,0.150049,0,0.000238,3,0.505544,0.512109,1.091898,0,0,1,0,39,0.000419,75,0.86771,610
anton,anton,0.076144,0.075147,0,1,0.45513,0.4,0.150028,2,0.000234,3,0.50467,0.511081,0.101694,1,0,0,0,37,0.000234,175,0.95873,604
app,app,0.023789,0.027013,0,0,0.230565,1,0.150024,5,0.000203,3,0.498974,0.505026,0.083031,0,0,1,0,27,0.000202,225,0.947692,308
appear,appear,0.025678,0.048511,0,1,0.363422,0.25,0.150032,2,0.000369,3,0.51175,0.523875,40.178354,0.75,0.125,0,0.125,73,0.000272,185,0.632238,1616
appliqued,appliqued,0.021608,0.088906,0,1,0.057565,0,0.150019,9,0.000356,3,0.512289,0.524218,7.610308,0,1,0,0,73,0.000154,221,0.827856,2116
architectural,architectural,0.011952,0.021054,0,1,0.153823,0,0.15001,3,0.000385,3,0.513371,0.526959,16.326485,1,0,0,0,82,0.000085,152,0.755556,2448
area,area,0.025936,0.035675,0,0.75,0.108914,0.25,0.150029,0,0.000273,3,0.506949,0.515536,1.805408,0,0,1,0,50,0.000255,179,0.889456,1046
arm,arm,0.039454,0.072896,0.000249,0.852349,0.282477,0.510067,0.150637,2,0.002796,2,0.653381,0.73475,9713.028003,0.067114,0.47651,0.395973,0.060403,687,0.005396,252,0.202081,47480
arrive,arrive,0.016301,0.019268,0.002326,1,0.251363,0.148148,0.150056,3,0.000764,2,0.537385,0.569568,50.54289,0,0.185185,0.814815,0,205,0.000481,10,0.843669,17469
